EmployeeID,FullName,Gender,Age,MaritalStatus,Education,Department,JobRole,HireDate,TerminationDate,EmploymentStatus,TerminationReason,YearsAtCompany,AnnualSalary,OverTime,DistanceFromHome_km,PerformanceRating,JobSatisfaction,WorkLifeBalance,RecruitmentSource,AbsentDays_LastYear,HireYear,HireMonth
32,Sanele Zulu,Male,20,Married,High School,Sales,Sales Manager,2016-08-22,,Active,,9.9,58357,No,1,4,4,4,University Fair,6,2016,8
33,Palesa Hernandez,Female,38,Divorced,Diploma,Sales,Sales Executive,2025-07-19,,Active,,0.9,29259,No,14,4,3,3,LinkedIn,12,2025,7
34,Steven Sanchez,Male,23,Divorced,Bachelor's,Sales,Sales Representative,2022-06-29,,Active,,4.0,56232,No,3,2,4,3,LinkedIn,8,2022,6
35,Jeffrey Mahlangu,Male,49,Divorced,Diploma,Finance,Finance Manager,2018-12-04,,Active,,7.6,64247,Yes,1,3,3,3,Job Portal,10,2018,12
36,Ashley Taylor,Female,49,Single,Bachelor's,Research & Development,Research Director,2021-02-15,,Active,,5.4,50431,No,15,4,2,4,LinkedIn,10,2021,2
37,Cynthia van der Merwe,Female,35,Divorced,Bachelor's,Operations,Operations Analyst,2016-10-27,,Active,,9.7,58806,No,2,2,2,2,Job Portal,6,2016,10
38,Thomas Thompson,Male,31,Married,Diploma,Marketing,Marketing Manager,2020-02-22,,Active,,6.4,34231,No,8,2,2,1,University Fair,7,2020,2
39,Donna van der Merwe,Female,23,Married,Master's,Operations,Operations Analyst,2023-06-28,,Active,,3.0,44527,No,9,1,4,3,Company Website,4,2023,6
40,Richard Rodriguez,Male,29,Divorced,Diploma,Sales,Sales Executive,2024-04-28,2026-01-14,Terminated,Resignation - Personal Reasons,1.7,55052,No,5,3,3,3,Employee Referral,7,2024,4
41,Carol Wilson,Female,21,Single,Bachelor's,IT,IT Support Specialist,2021-09-01,,Active,,4.8,51891,No,1,3,2,3,LinkedIn,11,2021,9
42,Ryan Moore,Male,28,Married,Diploma,Sales,Sales Manager,2024-08-24,,Active,,1.8,46390,No,10,3,2,2,Employee Referral,9,2024,8
43,Jacob Ndlovu,Male,23,Divorced,Master's,IT,Software Engineer,2017-04-03,2018-04-06,Terminated,Restructuring/Layoff,1.0,54244,Yes,2,2,2,2,LinkedIn,6,2017,4
44,Melissa Mahlangu,Female,39,Married,High School,Human Resources,HR Analyst,2017-06-06,,Active,,9.1,51006,No,2,2,4,4,LinkedIn,7,2017,6
45,Amanda Wilson,Female,38,Married,Master's,IT,Software Engineer,2019-12-19,,Active,,6.5,36635,No,1,3,3,1,University Fair,7,2019,12
46,Charles Thomas,Male,29,Single,Bachelor's,Marketing,Marketing Manager,2025-11-19,,Active,,0.6,81987,No,21,4,4,2,Company Website,7,2025,11
47,George Clark,Male,31,Divorced,Diploma,IT,Data Analyst,2018-12-28,,Active,,7.5,44511,No,8,3,3,4,LinkedIn,11,2018,12
48,Jason Williams,Male,28,Married,Master's,Marketing,Marketing Manager,2018-03-28,,Active,,8.3,55944,No,3,2,4,3,Job Portal,7,2018,3
49,Kevin Anderson,Male,40,Single,Bachelor's,Sales,Sales Representative,2020-06-20,,Active,,6.0,54804,No,1,4,2,3,Job Portal,14,2020,6
50,Amanda Khumalo,Female,44,Married,Diploma,Research & Development,Research Director,2016-04-23,,Active,,10.2,67763,No,6,3,3,2,Employee Referral,9,2016,4
51,Sanele Taylor,Male,36,Married,Bachelor's,Sales,Account Manager,2019-11-16,,Active,,6.6,61166,No,9,2,3,3,Recruitment Agency,13,2019,11
52,Lerato Davis,Female,45,Divorced,Bachelor's,Research & Development,Laboratory Technician,2018-11-09,2019-07-08,Terminated,Restructuring/Layoff,0.7,36817,No,4,3,4,3,University Fair,6,2018,11
53,Anthony White,Male,43,Single,Bachelor's,Research & Development,Research Director,2022-12-27,,Active,,3.5,45441,No,8,1,4,2,Company Website,7,2022,12
54,Kevin Khumalo,Male,37,Married,Bachelor's,Research & Development,Manufacturing Director,2019-08-29,,Active,,6.8,48274,Yes,1,3,3,1,University Fair,13,2019,8
55,Thomas Gonzalez,Male,20,Single,Bachelor's,Research & Development,Manufacturing Director,2023-08-06,,Active,,2.9,28710,Yes,1,4,4,3,University Fair,6,2023,8
56,Naledi Martin,Female,29,Married,Diploma,Research & Development,Research Scientist,2019-05-29,,Active,,7.1,39755,Yes,1,3,2,3,University Fair,9,2019,5
57,Michelle Robinson,Female,42,Divorced,Bachelor's,Research & Development,Laboratory Technician,2021-09-24,,Active,,4.8,55503,No,8,2,2,4,Employee Referral,7,2021,9
58,Barbara Jackson,Female,20,Single,Master's,Human Resources,Recruiter,2017-01-17,,Active,,9.5,79070,No,3,3,3,3,Company Website,12,2017,1
59,Donna Anderson,Female,55,Married,High School,IT,Data Analyst,2016-04-10,,Active,,10.2,63243,Yes,14,4,3,2,University Fair,8,2016,4
60,William Robinson,Male,37,Married,Bachelor's,Research & Development,Laboratory Technician,2024-01-21,,Active,,2.4,32244,No,8,4,2,1,Recruitment Agency,15,2024,1
61,Steven Martinez,Male,26,Single,Master's,Finance,Financial Analyst,2026-01-04,,Active,,0.5,53054,No,3,3,1,2,Recruitment Agency,15,2026,1
62,Paul Lopez,Male,30,Single,Bachelor's,IT,Systems Administrator,2016-07-24,,Active,,9.9,31820,No,10,3,3,3,Recruitment Agency,7,2016,7
63,Thomas Robinson,Male,20,Divorced,Master's,Finance,Finance Manager,2024-06-20,,Active,,2.0,61406,Yes,1,3,3,3,Company Website,10,2024,6
64,Lwazi Ramirez,Male,41,Married,Diploma,Marketing,Brand Manager,2026-01-22,,Active,,0.4,59908,No,3,2,4,2,Recruitment Agency,11,2026,1
65,Dorothy Thomas,Female,43,Married,Bachelor's,Marketing,Content Strategist,2024-08-02,2026-03-18,Terminated,Dismissal - Performance,1.6,48287,No,2,4,4,4,Recruitment Agency,7,2024,8
66,Elizabeth Jackson,Female,37,Single,Master's,Sales,Sales Manager,2019-08-02,,Active,,6.9,43338,No,1,3,3,4,Employee Referral,7,2019,8
67,Charles Anderson,Male,42,Married,Diploma,Research & Development,Laboratory Technician,2023-12-03,,Active,,2.6,47785,No,3,3,3,3,Recruitment Agency,10,2023,12
68,Carol Zulu,Female,20,Married,Master's,Human Resources,HR Business Partner,2018-04-27,,Active,,8.2,33449,Yes,23,3,1,3,University Fair,14,2018,4
69,Patricia Molefe,Female,37,Married,Diploma,Research & Development,Research Scientist,2019-12-11,,Active,,6.6,57666,No,2,2,2,2,Recruitment Agency,13,2019,12
70,Zanele Zulu,Female,32,Married,Diploma,IT,Data Analyst,2021-06-22,,Active,,5.0,31396,No,1,4,2,2,Recruitment Agency,11,2021,6
71,John Harris,Male,30,Married,Diploma,Research & Development,Manufacturing Director,2024-02-14,,Active,,2.4,41104,No,15,4,4,3,Employee Referral,6,2024,2
72,Zanele Johnson,Female,31,Single,Bachelor's,Marketing,Marketing Specialist,2016-12-09,,Active,,9.6,56036,No,5,3,4,3,Recruitment Agency,14,2016,12
73,Matthew Brown,Male,34,Married,Bachelor's,Sales,Sales Manager,2018-05-16,,Active,,8.1,53680,No,1,4,4,3,Recruitment Agency,3,2018,5
74,Kenneth Clark,Male,42,Divorced,High School,Sales,Sales Executive,2021-04-10,,Active,,5.2,28906,No,1,3,3,4,LinkedIn,9,2021,4
75,Timothy Anderson,Male,46,Single,Diploma,Finance,Financial Analyst,2024-06-16,2024-09-15,Terminated,Resignation - Personal Reasons,0.2,22312,No,29,4,4,2,University Fair,2,2024,6
76,Karen Thomas,Female,50,Married,Master's,Sales,Sales Executive,2022-04-29,,Active,,4.2,47373,No,2,4,3,3,Company Website,9,2022,4
77,Dorothy White,Female,34,Married,Master's,Sales,Sales Executive,2024-09-20,,Active,,1.8,55939,No,2,4,3,4,LinkedIn,6,2024,9
78,Sanele Johnson,Male,38,Single,Master's,Operations,Supply Chain Analyst,2020-06-12,,Active,,6.1,46429,No,14,3,3,2,LinkedIn,6,2020,6
79,Sanele Thomas,Male,23,Single,Bachelor's,Sales,Sales Manager,2025-07-14,,Active,,1.0,41058,Yes,6,3,4,3,University Fair,3,2025,7
80,Robert Thompson,Male,21,Married,Bachelor's,Human Resources,Recruiter,2016-10-09,,Active,,9.7,64166,No,12,1,3,2,LinkedIn,7,2016,10
81,Rebecca Dlamini,Female,28,Married,Master's,Sales,Sales Manager,2023-02-16,,Active,,3.4,48284,Yes,1,3,2,3,Company Website,14,2023,2
82,Karen Ramirez,Female,48,Divorced,Bachelor's,Sales,Sales Manager,2022-11-27,2026-02-01,Terminated,Dismissal - Performance,3.2,61429,No,1,3,4,4,University Fair,10,2022,11
83,Kenneth Lee,Male,30,Single,Master's,Marketing,Marketing Specialist,2019-02-16,,Active,,7.4,43661,Yes,29,3,2,4,Recruitment Agency,14,2019,2
84,Musa van der Merwe,Male,27,Married,Bachelor's,Finance,Finance Manager,2016-04-27,,Active,,10.2,64459,No,8,2,4,1,Employee Referral,6,2016,4
85,Nomvula Wilson,Female,21,Divorced,Diploma,Research & Development,Research Director,2019-10-26,,Active,,6.7,80386,No,16,4,3,2,Company Website,10,2019,10
86,Casey Ndlovu,Non-Binary,38,Married,Diploma,Sales,Sales Representative,2016-12-16,,Active,,9.5,48227,Yes,16,3,3,3,Recruitment Agency,11,2016,12
87,Amahle Thomas,Female,24,Single,Master's,IT,Systems Administrator,2021-01-09,,Active,,5.5,66812,Yes,28,3,2,1,Job Portal,8,2021,1
88,Sandra Sanchez,Female,33,Married,Bachelor's,IT,IT Support Specialist,2023-06-12,,Active,,3.1,65985,No,9,2,2,1,University Fair,13,2023,6
89,Kagiso Thompson,Male,39,Married,Bachelor's,Research & Development,Research Director,2019-12-12,,Active,,6.6,56730,No,1,2,2,1,Job Portal,2,2019,12
90,Dorothy Anderson,Female,34,Divorced,Diploma,Sales,Sales Representative,2019-07-16,,Active,,7.0,57325,Yes,1,4,4,1,Company Website,9,2019,7
91,Matthew Gonzalez,Male,41,Divorced,Bachelor's,Sales,Account Manager,2019-02-06,,Active,,7.4,35118,Yes,8,3,4,2,University Fair,13,2019,2
92,Emily Miller,Female,29,Married,Bachelor's,Marketing,Content Strategist,2018-07-20,,Active,,8.0,55849,No,1,4,3,4,LinkedIn,14,2018,7
93,Zanele Rodriguez,Female,24,Single,Diploma,Sales,Sales Executive,2022-03-16,,Active,,4.3,23783,No,4,2,3,2,Company Website,9,2022,3
94,Nomvula Miller,Female,23,Married,Bachelor's,Marketing,Content Strategist,2021-04-06,,Active,,5.2,24479,No,7,3,4,3,Employee Referral,3,2021,4
95,Michael Taylor,Male,33,Married,Master's,Operations,Supply Chain Analyst,2017-04-12,,Active,,9.2,58241,Yes,21,3,2,3,Recruitment Agency,10,2017,4
96,Elizabeth Molefe,Female,37,Divorced,Diploma,Finance,Financial Analyst,2017-09-13,,Active,,8.8,72920,No,10,3,3,2,Job Portal,7,2017,9
97,David Thomas,Male,48,Divorced,Bachelor's,Sales,Account Manager,2022-10-19,,Active,,3.7,46832,Yes,8,4,3,4,Employee Referral,15,2022,10
98,Palesa Harris,Female,23,Married,Master's,Research & Development,Manufacturing Director,2019-05-02,,Active,,7.2,77003,No,3,2,4,2,Job Portal,7,2019,5
99,Musa van der Merwe,Male,32,Divorced,Diploma,Sales,Sales Executive,2024-07-21,2025-04-19,Terminated,Restructuring/Layoff,0.7,52363,Yes,8,3,3,2,LinkedIn,9,2024,7
100,Daniel Thomas,Male,28,Married,High School,Sales,Sales Executive,2017-10-03,,Active,,8.7,76546,No,9,4,2,2,Company Website,13,2017,10
101,Thandiwe Jackson,Female,26,Married,Diploma,Sales,Sales Manager,2023-12-05,,Active,,2.6,36410,Yes,5,2,4,2,LinkedIn,12,2023,12
102,Paul Taylor,Male,27,Single,Diploma,IT,Data Analyst,2020-10-07,,Active,,5.7,59001,Yes,4,3,3,3,Company Website,8,2020,10
103,Karen Moore,Female,46,Married,Diploma,Marketing,Marketing Specialist,2016-09-01,,Active,,9.8,54965,No,1,3,2,4,University Fair,13,2016,9
104,Naledi Jackson,Female,26,Married,Bachelor's,Research & Development,Manufacturing Director,2023-09-21,,Active,,2.8,33893,Yes,22,3,3,3,Job Portal,10,2023,9
105,Lwazi Zulu,Male,35,Married,High School,Human Resources,HR Business Partner,2022-09-15,,Active,,3.8,60617,No,1,4,2,4,Company Website,9,2022,9
106,Brian Botha,Male,41,Divorced,PhD,Sales,Sales Executive,2018-07-26,,Active,,7.9,60313,Yes,4,2,4,3,University Fair,12,2018,7
107,Patricia Moore,Female,40,Married,Bachelor's,Finance,Accountant,2021-04-11,,Active,,5.2,49969,No,5,3,2,3,Job Portal,7,2021,4
108,Matthew Mahlangu,Male,34,Married,Bachelor's,Research & Development,Manufacturing Director,2017-01-08,2022-06-16,Terminated,Retirement,5.4,71680,No,1,3,4,2,Company Website,3,2017,1
109,Richard Hernandez,Male,36,Married,Bachelor's,Research & Development,Manufacturing Director,2019-03-26,,Active,,7.3,39909,No,7,3,3,3,University Fair,10,2019,3
110,Jennifer Robinson,Female,32,Married,Diploma,Sales,Sales Manager,2019-08-17,,Active,,6.9,50292,No,1,3,2,1,University Fair,10,2019,8
111,James Zulu,Male,46,Married,Bachelor's,Human Resources,HR Business Partner,2018-02-07,2024-01-30,Terminated,Retirement,6.0,47422,No,1,3,4,3,Company Website,10,2018,2
112,Jacob Brown,Male,55,Divorced,Diploma,Sales,Sales Representative,2026-05-27,,Active,,0.1,35994,No,8,3,1,3,Recruitment Agency,8,2026,5
113,Joseph Johnson,Male,33,Divorced,Bachelor's,Operations,Operations Manager,2023-12-17,2024-07-26,Terminated,Retirement,0.6,46830,No,1,2,1,4,Recruitment Agency,15,2023,12
114,Barbara Anderson,Female,46,Divorced,Master's,Operations,Operations Analyst,2021-03-05,,Active,,5.3,39386,Yes,1,2,4,4,Employee Referral,4,2021,3
115,Thabo Jackson,Male,23,Married,Master's,Human Resources,Recruiter,2020-08-28,,Active,,5.8,72160,Yes,7,3,3,3,Employee Referral,14,2020,8
116,Skyler Ndlovu,Non-Binary,49,Divorced,Bachelor's,Sales,Sales Representative,2026-05-03,,Active,,0.2,72149,No,8,2,3,4,Employee Referral,8,2026,5
117,William Moore,Male,23,Divorced,Master's,IT,Systems Administrator,2019-10-24,,Active,,6.7,64055,No,14,4,2,4,Job Portal,10,2019,10
118,James Jackson,Male,41,Married,Bachelor's,IT,Systems Administrator,2025-09-14,2025-12-21,Terminated,Dismissal - Performance,0.3,62842,No,33,4,1,2,Job Portal,8,2025,9
119,Bongani Zulu,Male,36,Divorced,Diploma,Research & Development,Research Director,2025-10-01,,Active,,0.7,23180,No,6,3,3,2,Employee Referral,7,2025,10
120,Naledi Harris,Female,34,Married,Bachelor's,Sales,Account Manager,2016-06-27,,Active,,10.0,40242,Yes,6,3,3,2,Company Website,9,2016,6
121,Jason Harris,Male,22,Divorced,Bachelor's,Operations,Operations Manager,2021-07-21,2021-12-03,Terminated,Resignation - Personal Reasons,0.4,28725,No,16,4,3,3,Job Portal,6,2021,7
122,Richard Lewis,Male,46,Divorced,Bachelor's,Sales,Account Manager,2016-03-03,2024-06-08,Terminated,Resignation - Personal Reasons,8.3,43045,No,5,3,1,3,Employee Referral,13,2016,3
123,William Nkosi,Male,45,Married,Bachelor's,IT,IT Support Specialist,2019-10-18,,Active,,6.7,59247,No,5,2,1,3,Company Website,15,2019,10
124,David Perez,Male,20,Single,High School,Marketing,Brand Manager,2019-07-21,2025-03-09,Terminated,Dismissal - Misconduct,5.6,61494,No,4,2,2,3,Employee Referral,16,2019,7
125,Emily Anderson,Female,46,Single,Bachelor's,IT,Systems Administrator,2017-02-07,2025-10-17,Terminated,Restructuring/Layoff,8.7,60691,No,14,3,3,3,Recruitment Agency,4,2017,2
126,Daniel Martin,Male,37,Married,Master's,Marketing,Marketing Specialist,2019-08-21,,Active,,6.9,23993,No,2,3,4,4,Job Portal,5,2019,8
127,Ronald Ramirez,Male,20,Single,Bachelor's,Sales,Account Manager,2022-05-07,,Active,,4.2,45946,No,1,3,2,4,Employee Referral,4,2022,5
128,Lisa Garcia,Female,28,Married,Bachelor's,Finance,Payroll Specialist,2022-12-13,,Active,,3.5,35396,Yes,2,3,3,4,University Fair,2,2022,12
129,Charles Anderson,Male,36,Single,Diploma,Human Resources,Recruiter,2021-02-25,,Active,,5.3,32274,No,18,1,4,4,Recruitment Agency,7,2021,2
130,Joshua Zulu,Male,38,Married,PhD,Sales,Account Manager,2019-11-16,,Active,,6.6,29931,No,7,3,2,2,Company Website,7,2019,11
131,Ryan Taylor,Male,45,Married,Diploma,Research & Development,Research Director,2018-03-26,2022-09-16,Terminated,Dismissal - Performance,4.5,88547,No,10,2,4,3,University Fair,7,2018,3
132,Amanda Molefe,Female,41,Single,Bachelor's,Research & Development,Research Director,2016-03-30,2025-09-18,Terminated,Restructuring/Layoff,9.5,83462,No,13,3,1,4,University Fair,9,2016,3
133,Linda Botha,Female,46,Divorced,Master's,IT,IT Support Specialist,2024-09-12,,Active,,1.8,34914,Yes,16,4,4,2,Job Portal,7,2024,9
134,Paul Gonzalez,Male,38,Divorced,High School,Finance,Accountant,2023-01-17,,Active,,3.5,36523,No,11,4,2,3,Company Website,8,2023,1
135,Robert Martin,Male,46,Single,Bachelor's,IT,Software Engineer,2022-07-01,,Active,,4.0,56251,No,6,2,4,4,LinkedIn,7,2022,7
136,Joshua Lee,Male,27,Divorced,Diploma,IT,Data Analyst,2018-04-02,,Active,,8.2,57913,No,1,4,4,3,Job Portal,9,2018,4
137,Kagiso Khumalo,Male,52,Married,Master's,Marketing,Marketing Manager,2018-11-18,,Active,,7.6,54439,Yes,10,2,4,4,Job Portal,11,2018,11
138,George Davis,Male,33,Divorced,Master's,Human Resources,HR Business Partner,2017-07-30,2026-03-14,Terminated,Resignation - Personal Reasons,8.6,46377,No,4,3,4,3,Company Website,9,2017,7
139,Stephanie Ndlovu,Female,32,Single,Diploma,Research & Development,Manufacturing Director,2016-02-27,,Active,,10.3,61103,Yes,8,3,3,3,Recruitment Agency,7,2016,2
140,Melissa Taylor,Female,40,Married,Bachelor's,Finance,Finance Manager,2017-03-19,,Active,,9.3,55133,No,12,3,2,4,LinkedIn,12,2017,3
141,Amahle Lee,Female,20,Married,High School,Marketing,Marketing Manager,2023-04-06,,Active,,3.2,18000,No,3,4,2,3,Company Website,16,2023,4
142,Kevin Clark,Male,40,Married,Bachelor's,Sales,Sales Executive,2016-06-01,,Active,,10.1,49186,No,1,4,4,3,LinkedIn,6,2016,6
143,Susan Thomas,Female,35,Divorced,Bachelor's,Marketing,Marketing Manager,2020-05-10,,Active,,6.1,45332,No,2,3,4,1,Company Website,7,2020,5
144,Tumelo Clark,Male,36,Single,Bachelor's,Finance,Accountant,2025-12-05,,Active,,0.6,38473,No,5,2,4,3,Recruitment Agency,8,2025,12
145,Rebecca Moore,Female,49,Single,Bachelor's,Sales,Sales Manager,2018-06-08,,Active,,8.1,46199,No,4,3,3,3,Job Portal,11,2018,6
146,Susan White,Female,29,Single,Bachelor's,Human Resources,Recruiter,2016-09-05,,Active,,9.8,33039,Yes,1,3,4,3,LinkedIn,6,2016,9
147,Cynthia Garcia,Female,33,Single,Master's,Finance,Financial Analyst,2016-07-26,,Active,,9.9,41637,No,5,3,4,3,Employee Referral,4,2016,7
148,Musa Wilson,Male,53,Single,Diploma,Sales,Sales Representative,2022-07-29,,Active,,3.9,47210,Yes,2,3,3,3,Job Portal,12,2022,7
149,Charles Botha,Male,37,Single,Bachelor's,Sales,Sales Representative,2017-06-16,,Active,,9.0,42978,Yes,3,3,3,2,LinkedIn,10,2017,6
150,Patricia Rodriguez,Female,33,Single,Bachelor's,Sales,Sales Representative,2022-08-08,,Active,,3.9,38369,No,9,3,3,1,Job Portal,9,2022,8
151,Linda Rodriguez,Female,20,Married,High School,IT,Software Engineer,2024-05-12,,Active,,2.1,36996,No,1,2,3,3,Job Portal,15,2024,5
152,Lwazi Mahlangu,Male,47,Divorced,High School,Sales,Sales Representative,2022-11-24,,Active,,3.6,22942,No,3,2,3,2,University Fair,6,2022,11
153,Donna Robinson,Female,20,Married,PhD,Finance,Financial Analyst,2016-09-06,,Active,,9.8,40751,No,3,2,4,3,Recruitment Agency,4,2016,9
154,Richard Dlamini,Male,32,Single,Bachelor's,IT,Systems Administrator,2016-10-28,2017-11-22,Terminated,Retirement,1.1,44235,No,1,1,4,3,Employee Referral,10,2016,10
155,Kimberly van der Merwe,Female,21,Divorced,PhD,Finance,Finance Manager,2020-04-09,,Active,,6.2,33058,Yes,6,3,4,4,Job Portal,5,2020,4
156,Cynthia Khumalo,Female,36,Divorced,Bachelor's,Finance,Financial Analyst,2024-11-22,,Active,,1.6,53689,No,1,3,3,3,Company Website,9,2024,11
157,Bongani Wilson,Male,38,Married,Bachelor's,Research & Development,Laboratory Technician,2020-08-21,,Active,,5.9,56735,No,1,3,2,4,Recruitment Agency,8,2020,8
158,Jeffrey Miller,Male,34,Single,Diploma,Research & Development,Research Director,2023-06-17,,Active,,3.0,29811,No,15,3,3,2,Company Website,14,2023,6
159,Sipho Jones,Male,46,Divorced,Bachelor's,Sales,Sales Executive,2017-01-16,,Active,,9.5,49533,Yes,17,3,3,3,Company Website,16,2017,1
160,Ronald Rodriguez,Male,46,Married,Diploma,Human Resources,Recruiter,2023-07-07,,Active,,3.0,61612,Yes,2,3,4,2,Company Website,7,2023,7
161,Ryan Brown,Male,40,Single,Bachelor's,Operations,Logistics Coordinator,2019-12-11,2021-04-08,Terminated,Dismissal - Misconduct,1.3,56774,No,11,3,4,4,Company Website,4,2019,12
162,Thandiwe Anderson,Female,34,Married,Diploma,Marketing,Content Strategist,2025-06-24,2026-06-03,Terminated,Retirement,0.9,37493,No,23,2,4,3,University Fair,5,2025,6
163,Sandra Ramirez,Female,21,Divorced,Master's,Marketing,Marketing Specialist,2022-10-30,,Active,,3.7,36519,Yes,13,4,3,4,Job Portal,9,2022,10
164,Patricia Lopez,Female,36,Single,Bachelor's,Sales,Sales Manager,2026-05-02,,Active,,0.2,45507,No,8,2,4,3,Employee Referral,8,2026,5
